subject,subject_type,relation,object,object_type,source_url,sentence
Academy Award for Best Picture,ORG,co-occurs with,The Academy Award for Best Picture,ORG,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
Academy Award for Best Picture,ORG,co-occurs with,the Academy Awards,ORG,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
Academy Award for Best Picture,ORG,know as,Oscars,PERSON,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
Academy Award for Best Picture,ORG,know as,annually,DATE,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
Academy Award for Best Picture,ORG,know as,the Academy of Motion Picture Arts and Sciences (AMPAS,ORG,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
Academy Award for Best Picture,ORG,know as,"May 16, 1929",DATE,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
The Academy Award for Best Picture,ORG,co-occurs with,the Academy Awards,ORG,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
The Academy Award for Best Picture,ORG,know as,Oscars,PERSON,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
The Academy Award for Best Picture,ORG,know as,annually,DATE,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
The Academy Award for Best Picture,ORG,know as,the Academy of Motion Picture Arts and Sciences (AMPAS,ORG,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
The Academy Award for Best Picture,ORG,know as,"May 16, 1929",DATE,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
the Academy Awards,ORG,know as,Oscars,PERSON,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
the Academy Awards,ORG,know as,annually,DATE,https://en.wikipedia.org/wiki/Academy_Award_for_Best_Picture,"Academy Award for Best Picture
The Academy Award for Best Picture is one of the Academy Awards (also known as Oscars) presented annually by the Academy of Motion Picture Arts and Sciences (AMPAS) since the awards debuted on May 16, 1929."
